iter	Passed	Remaining
905	999	103
906	1000	102
907	1001	101
908	1002	100
909	1003	99
910	1004	98
911	1006	97
912	1007	95
913	1008	94
914	1009	93
915	1010	92
916	1012	91
917	1013	90
918	1014	89
919	1015	88
920	1016	87
921	1017	86
922	1018	84
923	1019	83
924	1021	82
925	1022	81
926	1023	80
927	1024	79
928	1025	78
929	1027	77
930	1028	76
931	1029	75
932	1030	73
933	1031	72
934	1033	71
935	1034	70
936	1035	69
937	1036	68
938	1037	67
939	1038	66
940	1039	65
941	1041	64
942	1042	62
943	1043	61
944	1044	60
945	1045	59
946	1046	58
947	1047	57
948	1048	56
949	1050	55
950	1051	54
951	1052	53
952	1053	51
953	1054	50
954	1056	49
955	1057	48
956	1058	47
957	1059	46
958	1060	45
959	1061	44
960	1062	43
961	1063	42
962	1065	40
963	1066	39
964	1067	38
965	1069	37
966	1070	36
967	1071	35
968	1073	34
969	1074	33
970	1075	32
971	1076	31
972	1077	29
973	1079	28
974	1080	27
975	1081	26
976	1082	25
977	1083	24
978	1084	23
979	1086	22
980	1087	21
981	1088	19
982	1089	18
983	1091	17
984	1092	16
985	1093	15
986	1094	14
987	1096	13
988	1097	12
989	1098	11
990	1099	9
991	1100	8
992	1101	7
993	1103	6
994	1104	5
995	1105	4
996	1106	3
997	1108	2
998	1109	1
999	1110	0
